Designator,Mid X,Mid Y,Rotation,Layer
BZ1,35.75,-36.25,0.0,bottom
D1,31.5,-56.75,0.0,top
J1,38.25,-49.25,180.0,bottom
J3,33.015,-27.025,270.0,bottom
R1,24.5,-45.5,270.0,bottom
SW1,23.5,-65.0,0.0,top
SW2,30.75,-49.25,180.0,bottom
SW3,71.0,-65.5,0.0,top
U1,55.43,-50.0,0.0,bottom
U2,46.17855,-41.435,0.0,top
U3,28.5,-60.5,270.0,bottom
